"id","name","state","classification","population","created_at","updated_at"
"281","Chatra","Jharkhand","M","42,020","2015-03-15 04:06:12.550813","2015-03-15 04:06:12.550813"
"282","Charkhari","Uttar Pradesh","\N","\N","2015-03-15 04:06:12.561899","2015-03-15 04:06:12.561899"
"283","Chalakudy","Kerala","M","48,380","2015-03-15 04:06:12.57294","2015-03-15 04:06:12.57294"
"284","Chandrapur","Maharashtra","\N","\N","2015-03-15 04:06:12.584036","2015-03-15 04:06:12.584036"
"285","Changanassery","Kerala","M","51,967","2015-03-15 04:06:12.594982","2015-03-15 04:06:12.594982"
"286","Cheeka","Haryana","M.C","32,128","2015-03-15 04:06:12.606179","2015-03-15 04:06:12.606179"
"287","Chendamangalam","Kerala","C.T","28,147","2015-03-15 04:06:12.617249","2015-03-15 04:06:12.617249"
"288","Chengalpattu","Tamil Nadu","\N","\N","2015-03-15 04:06:12.628733","2015-03-15 04:06:12.628733"
"289","Chengannur","Kerala","M","25,397","2015-03-15 04:06:12.639386","2015-03-15 04:06:12.639386"
"290","Chennai*","Tamil Nadu","\N","\N","2015-03-15 04:06:12.650415","2015-03-15 04:06:12.650415"
"291","Cherthala","Kerala","UA","1,41,558","2015-03-15 04:06:12.662927","2015-03-15 04:06:12.662927"
"292","Cheruthazham","Kerala","C.T","26,239","2015-03-15 04:06:12.672584","2015-03-15 04:06:12.672584"
"293","Chhapra","Bihar","M","1,79,190","2015-03-15 04:06:12.683648","2015-03-15 04:06:12.683648"
"294","Chhatarpur","Madhya Pradesh","N.A.C","20,289","2015-03-15 04:06:12.694622","2015-03-15 04:06:12.694622"
"295","Chhindwara","Madhya Pradesh","\N","\N","2015-03-15 04:06:12.705805","2015-03-15 04:06:12.705805"
"296","Chikkodi","Karnataka","T.M.C","32,820","2015-03-15 04:06:12.716883","2015-03-15 04:06:12.716883"
"297","Chikkamagalur","Karnataka","\N","\N","2015-03-15 04:06:12.727866","2015-03-15 04:06:12.727866"
"298","Chilakaluripet","Andhra Pradesh","M","91,656","2015-03-15 04:06:12.73901","2015-03-15 04:06:12.73901"
"299","Chinchani","Maharashtra","C.T.","13,435","2015-03-15 04:06:12.750338","2015-03-15 04:06:12.750338"
"300","Chinna salem","Tamil nadu","T.P","35,000","2015-03-15 04:06:12.76112","2015-03-15 04:06:12.76112"
"301","Chinthaamani","Karnataka","\N","\N","2015-03-15 04:06:12.772214","2015-03-15 04:06:12.772214"
"302","Chiplun","Maharashtra","\N","\N","2015-03-15 04:06:12.784279","2015-03-15 04:06:12.784279"
"303","Chirala","Andhra Pradesh","UA","1,66,294","2015-03-15 04:06:12.794665","2015-03-15 04:06:12.794665"
"304","Chirkunda","Jharkhand","UA","1,06,227","2015-03-15 04:06:12.805466","2015-03-15 04:06:12.805466"
"305","Chirmiri","Chhattisgarh","UA","93,373","2015-03-15 04:06:12.816509","2015-03-15 04:06:12.816509"
"306","Chinsura","West Bengal","\N","1,06,227","2015-03-15 04:06:12.827871","2015-03-15 04:06:12.827871"
"307","Chitradurga","Karnataka","\N","\N","2015-03-15 04:06:12.838467","2015-03-15 04:06:12.838467"
"308","Chittur-Thathamangalam","Kerala","UA","67,935","2015-03-15 04:06:12.849689","2015-03-15 04:06:12.849689"
"309","Chitrakoot","Madhya Pradesh","\N","\N","2015-03-15 04:06:12.860867","2015-03-15 04:06:12.860867"
"310","Chittoor","Andhra Pradesh","M","1,52,654","2015-03-15 04:06:12.872022","2015-03-15 04:06:12.872022"
"311","Chockli","Kerala","C.T","31,772","2015-03-15 04:06:12.882896","2015-03-15 04:06:12.882896"
"312","Churi","Jharkhand","C.T","25,222","2015-03-15 04:06:12.894095","2015-03-15 04:06:12.894095"
"313","Churu","Rajasthan","\N","\N","2015-03-15 04:06:12.905642","2015-03-15 04:06:12.905642"
"314","Coimbatore","Tamil Nadu","M.Corp","9,30,882","2015-03-15 04:06:12.916118","2015-03-15 04:06:12.916118"
"315","Colgong","Bihar","M","22,049","2015-03-15 04:06:12.92707","2015-03-15 04:06:12.92707"
"316","Contai","West Bengal","\N","\N","2015-03-15 04:06:12.938359","2015-03-15 04:06:12.938359"
"317","Cooch Behar","West Bengal","\N","\N","2015-03-15 04:06:12.949587","2015-03-15 04:06:12.949587"
"318","Coonoor","Tamil Nadu","\N","\N","2015-03-15 04:06:12.96024","2015-03-15 04:06:12.96024"
"319","Cuddalore","Tamil Nadu","\N","\N","2015-03-15 04:06:12.971509","2015-03-15 04:06:12.971509"
"320","Cuddapah","Andhra Pradesh","UA","2,62,506","2015-03-15 04:06:12.98262","2015-03-15 04:06:12.98262"
"321","Curchorem Cacora","Goa","M.Cl","21,407","2015-03-15 04:06:12.993891","2015-03-15 04:06:12.993891"
"322","Cuttack","Odisha","UA","5,87,182","2015-03-15 04:06:13.004716","2015-03-15 04:06:13.004716"
"323","Chikkaballapura","Karnataka","\N","\N","2015-03-15 04:06:13.015837","2015-03-15 04:06:13.015837"
"324","Chandan Bara","Bihar","M","16,049","2015-03-15 04:06:13.028158","2015-03-15 04:06:13.028158"
"325","Chaukori","Uttarakhand","M","16,049","2015-03-15 04:06:13.037986","2015-03-15 04:06:13.037986"
"326","Dabra","Madhya Pradesh","\N","\N","2015-03-15 04:06:13.049011","2015-03-15 04:06:13.049011"
"327","Dadri","Uttar Pradesh","\N","\N","2015-03-15 04:06:13.060137","2015-03-15 04:06:13.060137"
"328","Dahod","Gujarat","\N","79,185","2015-03-15 04:06:13.071176","2015-03-15 04:06:13.071176"
"329","Dalhousie","Himachal Pradesh","\N","\N","2015-03-15 04:06:13.082246","2015-03-15 04:06:13.082246"
"330","Dalkhola","West Bengal","\N","\N","2015-03-15 04:06:13.093382","2015-03-15 04:06:13.093382"
"331","Dalli-Rajhara","Chhattisgarh","UA","57,058","2015-03-15 04:06:13.104378","2015-03-15 04:06:13.104378"
"332","Dalsinghsarai","Bihar","N.A","20,196","2015-03-15 04:06:13.115795","2015-03-15 04:06:13.115795"
"333","Daltonganj","Jharkhand","M","71,422","2015-03-15 04:06:13.12642","2015-03-15 04:06:13.12642"
"334","Daman and Diu","Daman and Diu","M.Cl","35,770","2015-03-15 04:06:13.137523","2015-03-15 04:06:13.137523"
"335","Damoh","Madhya Pradesh","\N","\N","2015-03-15 04:06:13.14994","2015-03-15 04:06:13.14994"
"336","Darbhanga","Bihar","M.Corp.","2,67,348","2015-03-15 04:06:13.159425","2015-03-15 04:06:13.159425"
"337","Darjeeling","West Bengal","\N","\N","2015-03-15 04:06:13.170648","2015-03-15 04:06:13.170648"
"338","Dasua","Punjab","M.Cl","20,114","2015-03-15 04:06:13.1818","2015-03-15 04:06:13.1818"
"339","Datia","Madhya Pradesh","\N","\N","2015-03-15 04:06:13.192962","2015-03-15 04:06:13.192962"
"340","Daudnagar","Bihar","M","38,014","2015-03-15 04:06:13.2041","2015-03-15 04:06:13.2041"
"341","Daund","Maharashtra","\N","\N","2015-03-15 04:06:13.21515","2015-03-15 04:06:13.21515"
"342","Davanagere","Karnataka","M.Corp.","4,35,125","2015-03-15 04:06:13.226199","2015-03-15 04:06:13.226199"
"343","Debagarh","Orissa","M","20,096","2015-03-15 04:06:13.23799","2015-03-15 04:06:13.23799"
"344","Deesa","Gujarat","\N","83,340","2015-03-15 04:06:13.248329","2015-03-15 04:06:13.248329"
"345","Dehegam","Gujarat","\N","38,083","2015-03-15 04:06:13.259385","2015-03-15 04:06:13.259385"
"346","Dehradun","Uttarakhand","UA","5,30,263","2015-03-15 04:06:13.271609","2015-03-15 04:06:13.271609"
"347","Dehri-on-Sone","Bihar","M","1,19,057","2015-03-15 04:06:13.281425","2015-03-15 04:06:13.281425"
"348","Delhi","Delhi","UA","1,10,07,835","2015-03-15 04:06:13.292591","2015-03-15 04:06:13.292591"
"349","Deoghar","Jharkhand","UA","112,525 Devar Hipparagi","2015-03-15 04:06:13.303742","2015-03-15 04:06:13.303742"
"350","Deoria","Uttar Pradesh","\N","\N","2015-03-15 04:06:13.314658","2015-03-15 04:06:13.314658"
"351","Devarakonda","Andhra Pradesh","C.T","27,434","2015-03-15 04:06:13.325582","2015-03-15 04:06:13.325582"
"352","Devar Hipparagi","Karnataka","T.P.","27,434","2015-03-15 04:06:13.336958","2015-03-15 04:06:13.336958"
"353","Devgarh","Maharashtra","\N","\N","2015-03-15 04:06:13.347931","2015-03-15 04:06:13.347931"
"354","Devgarh","Rajasthan","\N","\N","2015-03-15 04:06:13.359195","2015-03-15 04:06:13.359195"
"355","Dewas","Madhya Pradesh","\N","\N","2015-03-15 04:06:13.403257","2015-03-15 04:06:13.403257"
"356","Dhampur","Uttar Pradesh","MB","75,000","2015-03-15 04:06:13.414385","2015-03-15 04:06:13.414385"
"357","Dhamtari","Chhattisgarh","M","82,111","2015-03-15 04:06:13.425848","2015-03-15 04:06:13.425848"
"358","Dhanbad","Jharkhand","UA","10,65,327","2015-03-15 04:06:13.436448","2015-03-15 04:06:13.436448"
"359","Dhar","Madhya Pradesh","\N","\N","2015-03-15 04:06:13.447504","2015-03-15 04:06:13.447504"
"360","Dharampur","Gujarat","\N","19,932","2015-03-15 04:06:13.458595","2015-03-15 04:06:13.458595"
"361","Dharamsala","Himachal Pradesh","\N","\N","2015-03-15 04:06:13.469679","2015-03-15 04:06:13.469679"
"362","Dharmanagar","Tripura","N.P","30,790","2015-03-15 04:06:13.480801","2015-03-15 04:06:13.480801"
"363","Dharmapuri","Tamil Nadu","M","\N","2015-03-15 04:06:13.491792","2015-03-15 04:06:13.491792"
"364","Dharmavaram","Andhra Pradesh","M","1,03,357","2015-03-15 04:06:13.502857","2015-03-15 04:06:13.502857"
"365","Dharwad","Karnataka","\N","\N","2015-03-15 04:06:13.513968","2015-03-15 04:06:13.513968"
"366","Dhekiajuli","Assam","M.B","25,349","2015-03-15 04:06:13.524984","2015-03-15 04:06:13.524984"
"367","Dhenkanal","Orissa","M","57,677","2015-03-15 04:06:13.536049","2015-03-15 04:06:13.536049"
"368","Dholka","Gujarat","\N","\N","2015-03-15 04:06:13.547161","2015-03-15 04:06:13.547161"
"369","Dhubri","Assam","M.B","64,168","2015-03-15 04:06:13.558227","2015-03-15 04:06:13.558227"
"370","Dhule","Maharashtra","\N","3,41,473","2015-03-15 04:06:13.569382","2015-03-15 04:06:13.569382"
"371","Dhulian","West Bengal","\N","\N","2015-03-15 04:06:13.580377","2015-03-15 04:06:13.580377"
"372","Dhuri","Punjab","M.Cl","1,32,406","2015-03-15 04:06:13.591485","2015-03-15 04:06:13.591485"
"373","Dibrugarh","Assam","UA","1,37,661","2015-03-15 04:06:13.604569","2015-03-15 04:06:13.604569"
"374","Digboi","Assam","UA","37,143","2015-03-15 04:06:13.613675","2015-03-15 04:06:13.613675"
"375","Dighwara","Bihar","N.A","27,367","2015-03-15 04:06:13.624785","2015-03-15 04:06:13.624785"
"376","Dimapur","Nagaland","T.C","3,93,119","2015-03-15 04:06:13.635814","2015-03-15 04:06:13.635814"
"377","Dinanagar","Punjab","M.Cl","21,502","2015-03-15 04:06:13.646908","2015-03-15 04:06:13.646908"
"378","Dindigul","Tamil Nadu","\N","\N","2015-03-15 04:06:13.657979","2015-03-15 04:06:13.657979"
"379","Diphu","Assam","T.C","52,310","2015-03-15 04:06:13.669036","2015-03-15 04:06:13.669036"
"380","Dipka","Chhattisgarh","C.T","20,150","2015-03-15 04:06:13.680114","2015-03-15 04:06:13.680114"
"381","Dispur*","Assam","\N","\N","2015-03-15 04:06:13.691202","2015-03-15 04:06:13.691202"
"382","Dombivli","Maharashtra","M.Corp.(with Kalyan)","12,56,614","2015-03-15 04:06:13.702211","2015-03-15 04:06:13.702211"
"383","Dongargarh","Chhattisgarh","M","34,441","2015-03-15 04:06:13.713296","2015-03-15 04:06:13.713296"
"384","Duliajan Oil Town","Assam","C.T","23,763","2015-03-15 04:06:13.724502","2015-03-15 04:06:13.724502"
"385","Dumdum","West Bengal","\N","\N","2015-03-15 04:06:13.735416","2015-03-15 04:06:13.735416"
"386","Dumka","Jharkhand","M","44,989","2015-03-15 04:06:13.746495","2015-03-15 04:06:13.746495"
"387","Dumraon","Bihar","M","45,806","2015-03-15 04:06:13.758573","2015-03-15 04:06:13.758573"
"388","Durg-Bhilai Nagar","Chhattisgarh","UA","9,27,864","2015-03-15 04:06:13.7686","2015-03-15 04:06:13.7686"
"389","Durgapur","Maharashtra","\N","\N","2015-03-15 04:06:13.77968","2015-03-15 04:06:13.77968"
"390","Durgapur","West Bengal","\N","\N","2015-03-15 04:06:13.790706","2015-03-15 04:06:13.790706"
"391","Dwarka","Gujarat","\N","33,614","2015-03-15 04:06:13.801783","2015-03-15 04:06:13.801783"
"392","Ellenabad","Haryana","M.C","32,795","2015-03-15 04:06:13.812823","2015-03-15 04:06:13.812823"
"393","Eluru","Andhra Pradesh","UA","5,15,000","2015-03-15 04:06:13.82398","2015-03-15 04:06:13.82398"
"394","Erattupetta","Kerala","C.T","29,682","2015-03-15 04:06:13.835051","2015-03-15 04:06:13.835051"
"395","Erode","Tamil Nadu","M.Corp","5,21,776","2015-03-15 04:06:13.846413","2015-03-15 04:06:13.846413"
"396","Etah","Uttar Pradesh","\N","\N","2015-03-15 04:06:13.857042","2015-03-15 04:06:13.857042"
"397","Etawah","Uttar Pradesh","\N","\N","2015-03-15 04:06:13.868279","2015-03-15 04:06:13.868279"
"398","English Bazar(Malda)","West Bengal","C.T","324,237 (2011)","2015-03-15 04:06:13.880459","2015-03-15 04:06:13.880459"
"399","Faizabad","Uttar Pradesh","\N","\N","2015-03-15 04:06:13.890399","2015-03-15 04:06:13.890399"
"400","Falna","Rajasthan","\N","\N","2015-03-15 04:06:13.901473","2015-03-15 04:06:13.901473"
"401","Faridabad","Haryana","M.Corp.","10,55,938","2015-03-15 04:06:13.912554","2015-03-15 04:06:13.912554"
"402","Faridkot","Punjab","UA","79,321","2015-03-15 04:06:13.923529","2015-03-15 04:06:13.923529"
"403","Farooqnagar","Andhra Pradesh","C.T","34,470","2015-03-15 04:06:13.934563","2015-03-15 04:06:13.934563"
"404","Farrukhabad","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.023372","2015-03-15 04:06:14.023372"
"405","Fatehabad","Haryana","M.C","59,917","2015-03-15 04:06:14.034317","2015-03-15 04:06:14.034317"
"406","Fatehabad","Madhya Pradesh","\N","\N","2015-03-15 04:06:14.045545","2015-03-15 04:06:14.045545"
"407","Fatehabad","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.056344","2015-03-15 04:06:14.056344"
"408","Fatehgarh","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.067579","2015-03-15 04:06:14.067579"
"409","Fatehpur Chaurasi","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.078642","2015-03-15 04:06:14.078642"
"410","Fatehpur Sikri","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.089683","2015-03-15 04:06:14.089683"
"411","Fatehpur","Rajasthan","\N","\N","2015-03-15 04:06:14.10078","2015-03-15 04:06:14.10078"
"412","Fatehpur","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.11179","2015-03-15 04:06:14.11179"
"413","Fatehpur","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.12257","2015-03-15 04:06:14.12257"
"414","Fatwah","Bihar","N.A","38,672","2015-03-15 04:06:14.13399","2015-03-15 04:06:14.13399"
"415","Fazilka","Punjab","M.Cl","67,427","2015-03-15 04:06:14.145017","2015-03-15 04:06:14.145017"
"416","Forbesganj","Bihar","M","41,499","2015-03-15 04:06:14.156092","2015-03-15 04:06:14.156092"
"417","Firozabad","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.16783","2015-03-15 04:06:14.16783"
"418","Firozpur","Punjab","M.Cl","95,475","2015-03-15 04:06:14.178225","2015-03-15 04:06:14.178225"
"419","Firozpur Cantt.","Punjab","C.B","57,678","2015-03-15 04:06:14.189337","2015-03-15 04:06:14.189337"
"420","Gadarwara","Madhya Pradesh","CMC","37,837","2015-03-15 04:06:14.201786","2015-03-15 04:06:14.201786"
"421","Gadhaga/Gadag","Karnataka","\N","\N","2015-03-15 04:06:14.211359","2015-03-15 04:06:14.211359"
"422","Gadchiroli","Maharashtra","\N","\N","2015-03-15 04:06:14.222534","2015-03-15 04:06:14.222534"
"423","Gadwal","Andhra Pradesh","UA","53,560","2015-03-15 04:06:14.233592","2015-03-15 04:06:14.233592"
"424","Ganaur","Haryana","M.C","29,006","2015-03-15 04:06:14.244633","2015-03-15 04:06:14.244633"
"425","Gandhidham","Gujarat","\N","\N","2015-03-15 04:06:14.255804","2015-03-15 04:06:14.255804"
"426","Gandhinagar*","Gujarat","\N","\N","2015-03-15 04:06:14.266808","2015-03-15 04:06:14.266808"
"427","Gangtok*","Sikkim","N.T.A","29,354","2015-03-15 04:06:14.277907","2015-03-15 04:06:14.277907"
"428","Ganjam","Odisha","\N","\N","2015-03-15 04:06:14.289235","2015-03-15 04:06:14.289235"
"429","Garhwa","Jharkhand","M","36,686","2015-03-15 04:06:14.300065","2015-03-15 04:06:14.300065"
"430","Gauripur","Assam","T.C","25,002","2015-03-15 04:06:14.311134","2015-03-15 04:06:14.311134"
"431","Gauribidanur","Karnataka","T.M.C","\N","2015-03-15 04:06:14.323011","2015-03-15 04:06:14.323011"
"432","Gaya","Bihar","M.Corp.","3,94,945","2015-03-15 04:06:14.333244","2015-03-15 04:06:14.333244"
"433","Gharaunda","Haryana","M.C","30,172","2015-03-15 04:06:14.344325","2015-03-15 04:06:14.344325"
"434","Ghatampur","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.35536","2015-03-15 04:06:14.35536"
"435","Ghatanji","Maharashtra","\N","\N","2015-03-15 04:06:14.366489","2015-03-15 04:06:14.366489"
"436","Ghatshila","Jharkhand","C.T","37,854","2015-03-15 04:06:14.377804","2015-03-15 04:06:14.377804"
"437","Ghaziabad","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.388654","2015-03-15 04:06:14.388654"
"438","Ghazipur","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.39972","2015-03-15 04:06:14.39972"
"439","Giddarbaha","Punjab","M.Cl","36,598","2015-03-15 04:06:14.410906","2015-03-15 04:06:14.410906"
"440","Gingee","Tamil Nadu","T.P","\N","2015-03-15 04:06:14.421655","2015-03-15 04:06:14.421655"
"441","Giridih","Jharkhand","UA","1,05,634","2015-03-15 04:06:14.432952","2015-03-15 04:06:14.432952"
"442","Goa Velha","Goa","\N","\N","2015-03-15 04:06:14.444399","2015-03-15 04:06:14.444399"
"443","Goalpara","Assam","M.B","49,037","2015-03-15 04:06:14.454828","2015-03-15 04:06:14.454828"
"444","Gobichettipalayam","Tamil Nadu","M","60,279","2015-03-15 04:06:14.466179","2015-03-15 04:06:14.466179"
"445","Gobindgarh","Punjab","UA","60,677","2015-03-15 04:06:14.477502","2015-03-15 04:06:14.477502"
"446","Gobranawapara","Chhattisgarh","M","25,591","2015-03-15 04:06:14.488302","2015-03-15 04:06:14.488302"
"447","Godda","Jharkhand","M","37,008","2015-03-15 04:06:14.499532","2015-03-15 04:06:14.499532"
"448","Godhra","Gujarat","\N","\N","2015-03-15 04:06:14.510872","2015-03-15 04:06:14.510872"
"449","Gogri Jamalpur","Bihar","N.A","31,106","2015-03-15 04:06:14.521572","2015-03-15 04:06:14.521572"
"450","Gohana","Haryana","M.C","48,532","2015-03-15 04:06:14.533665","2015-03-15 04:06:14.533665"
"451","Gokak","Karnataka","C.M.C","82,674","2015-03-15 04:06:14.543942","2015-03-15 04:06:14.543942"
"452","Golaghat","Assam","M.B","33,064","2015-03-15 04:06:14.55478","2015-03-15 04:06:14.55478"
"453","Gomoh","Jharkhand","C.T","29,587","2015-03-15 04:06:14.565883","2015-03-15 04:06:14.565883"
"454","Gondiya","Maharashtra","\N","\N","2015-03-15 04:06:14.577097","2015-03-15 04:06:14.577097"
"455","Gooty","Andhra Pradesh","C.T","43,389","2015-03-15 04:06:14.588031","2015-03-15 04:06:14.588031"
"456","Gopalganj","Bihar","M","54,449","2015-03-15 04:06:14.59904","2015-03-15 04:06:14.59904"
"457","Gorakhpur","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.61027","2015-03-15 04:06:14.61027"
"458","Greater Noida","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.621573","2015-03-15 04:06:14.621573"
"459","Gudalur","Tamil Nadu","\N","\N","2015-03-15 04:06:14.632187","2015-03-15 04:06:14.632187"
"460","Gudalur","Tamil Nadu","\N","\N","2015-03-15 04:06:14.643484","2015-03-15 04:06:14.643484"
"461","Gudalur","Tamil Nadu","\N","\N","2015-03-15 04:06:14.655806","2015-03-15 04:06:14.655806"
"462","Gudivada","Andhra Pradesh","M","1,13,054","2015-03-15 04:06:14.665444","2015-03-15 04:06:14.665444"
"463","Gudur","Andhra Pradesh","UA","68,782","2015-03-15 04:06:14.676554","2015-03-15 04:06:14.676554"
"464","Gulbarga","Karnataka","M corp.","7,45,356","2015-03-15 04:06:14.688162","2015-03-15 04:06:14.688162"
"465","Gumia","Jharkhand","C.T","45,548","2015-03-15 04:06:14.69871","2015-03-15 04:06:14.69871"
"466","Gumla","Jharkhand","M","39,761","2015-03-15 04:06:14.709757","2015-03-15 04:06:14.709757"
"467","Guna","Madhya Pradesh","\N","\N","2015-03-15 04:06:14.720848","2015-03-15 04:06:14.720848"
"468","Gundlupet","Karnataka","T.M.C.","26,368","2015-03-15 04:06:14.731863","2015-03-15 04:06:14.731863"
"469","Guntakal","Andhra Pradesh","M","1,17,103","2015-03-15 04:06:14.743473","2015-03-15 04:06:14.743473"
"470","Guntur","Andhra Pradesh","M.Corp.","5,14,461","2015-03-15 04:06:14.754105","2015-03-15 04:06:14.754105"
"471","Gunupur","Odisha","UA","24,706","2015-03-15 04:06:14.765126","2015-03-15 04:06:14.765126"
"472","Gurdaspur","Punjab","UA","68,441","2015-03-15 04:06:14.776944","2015-03-15 04:06:14.776944"
"473","Gurgaon","Haryana","M.Corp.","2,28,820","2015-03-15 04:06:14.787318","2015-03-15 04:06:14.787318"
"474","Guruvayoor","Kerala","UA","1,38,681","2015-03-15 04:06:14.798263","2015-03-15 04:06:14.798263"
"475","Guwahati","Assam","UA","10,05,543","2015-03-15 04:06:14.809398","2015-03-15 04:06:14.809398"
"476","Gwalior","Madhya pradesh","M.Corp","\N","2015-03-15 04:06:14.820471","2015-03-15 04:06:14.820471"
"477","Haflong","Assam","T.C","36,302","2015-03-15 04:06:14.831541","2015-03-15 04:06:14.831541"
"478","Hailakandi","Assam","M.B","29,739","2015-03-15 04:06:14.842583","2015-03-15 04:06:14.842583"
"479","Hajipur","Bihar","M","1,19,412","2015-03-15 04:06:14.853707","2015-03-15 04:06:14.853707"
"480","Haldia","West Bengal","\N","\N","2015-03-15 04:06:14.865042","2015-03-15 04:06:14.865042"
"481","Haldwani","Uttarakhand","UA","1,58,896","2015-03-15 04:06:14.875756","2015-03-15 04:06:14.875756"
"482","Hamirpur","Himachal Pradesh","\N","\N","2015-03-15 04:06:14.88691","2015-03-15 04:06:14.88691"
"483","Hamirpur","Uttar Pradesh","M.Corp.","38,035","2015-03-15 04:06:14.897978","2015-03-15 04:06:14.897978"
"484","Hansi","Haryana","M.Cl","75,745","2015-03-15 04:06:14.908796","2015-03-15 04:06:14.908796"
"485","Hanuman Junction","Andhra Pradesh","\N","\N","2015-03-15 04:06:14.920265","2015-03-15 04:06:14.920265"
"486","Hanumangarh","Rajasthan","\N","\N","2015-03-15 04:06:14.931158","2015-03-15 04:06:14.931158"
"487","Hapur","Uttar Pradesh","M.CI.","2,11,536","2015-03-15 04:06:14.941944","2015-03-15 04:06:14.941944"
"488","Harda","Madhya Pradesh","\N","\N","2015-03-15 04:06:14.953374","2015-03-15 04:06:14.953374"
"489","Hardoi","Uttar Pradesh","\N","\N","2015-03-15 04:06:14.964392","2015-03-15 04:06:14.964392"
"490","Haridwar","Uttarakhand","UA","2,20,767","2015-03-15 04:06:14.975467","2015-03-15 04:06:14.975467"
"491","Haripad","Kerala","TP","19,064","2015-03-15 04:06:14.986875","2015-03-15 04:06:14.986875"
"492","Harsawa","Rajasthan","\N","\N","2015-03-15 04:06:14.997509","2015-03-15 04:06:14.997509"
"493","Harur","Tamil Nadu","TP","\N","2015-03-15 04:06:15.008623","2015-03-15 04:06:15.008623"
"494","Haasana","Karnataka","\N","\N","2015-03-15 04:06:15.064027","2015-03-15 04:06:15.064027"
"495","Hastinapur","Uttar Pradesh","\N","\N","2015-03-15 04:06:15.108296","2015-03-15 04:06:15.108296"
"496","Hathras","Uttar Pradesh","\N","\N","2015-03-15 04:06:15.185957","2015-03-15 04:06:15.185957"
"497","Hazaribag","Jharkhand","UA","1,35,473","2015-03-15 04:06:15.230036","2015-03-15 04:06:15.230036"
"498","Hilsa","Bihar","N.A","37,775","2015-03-15 04:06:15.241095","2015-03-15 04:06:15.241095"
"499","Himatnagar","Gujarat","\N","\N","2015-03-15 04:06:15.252165","2015-03-15 04:06:15.252165"
"500","Hindupur","Andhra Pradesh","M","1,25,074","2015-03-15 04:06:15.26324","2015-03-15 04:06:15.26324"
"501","Hinjilicut","Odisha","N.A.C","21,347","2015-03-15 04:06:15.274262","2015-03-15 04:06:15.274262"
"502","Hisar","Haryana","UA","2,63,186","2015-03-15 04:06:15.285392","2015-03-15 04:06:15.285392"
"503","Hisua","Bihar","N.A","25,205","2015-03-15 04:06:15.296525","2015-03-15 04:06:15.296525"
"504","Hodal","Haryana","M.C","38,309","2015-03-15 04:06:15.307675","2015-03-15 04:06:15.307675"
"505","Hojai","Assam","M.B","35,718","2015-03-15 04:06:15.318416","2015-03-15 04:06:15.318416"
"506","Hoshiarpur","Punjab","M.Cl","1,49,668","2015-03-15 04:06:15.329646","2015-03-15 04:06:15.329646"
"507","Hosapet","Karnataka","\N","\N","2015-03-15 04:06:15.341111","2015-03-15 04:06:15.341111"
"508","Howrah","West Bengal","\N","\N","2015-03-15 04:06:15.351896","2015-03-15 04:06:15.351896"
"509","Hubbali","Karnataka","\N","\N","2015-03-15 04:06:15.362966","2015-03-15 04:06:15.362966"
"510","Hukkeri","Karnataka","T.P","23,010","2015-03-15 04:06:15.374055","2015-03-15 04:06:15.374055"
"511","Hugli-Chuchura","West Bengal","\N","170, 201","2015-03-15 04:06:15.385075","2015-03-15 04:06:15.385075"
"512","Hussainabad","Jharkhand","N.A","23,441","2015-03-15 04:06:15.396689","2015-03-15 04:06:15.396689"
"513","Hyderabad*","Andhra Pradesh","UA","57,42,036","2015-03-15 04:06:15.40723","2015-03-15 04:06:15.40723"
"514","Ichalkaranji","Maharashtra","\N","4,20,000","2015-03-15 04:06:15.418296","2015-03-15 04:06:15.418296"
"515","Ichchapuram","Andhra Pradesh","N.P","32,662","2015-03-15 04:06:15.430151","2015-03-15 04:06:15.430151"
"516","Idar","Gujarat","\N","\N","2015-03-15 04:06:15.440196","2015-03-15 04:06:15.440196"
"517","Imphal*","Manipur","UA","2,50,234","2015-03-15 04:06:15.451527","2015-03-15 04:06:15.451527"
"518","Indirapuram","National Capital Region (India)","\N","\N","2015-03-15 04:06:15.462569","2015-03-15 04:06:15.462569"
"519","Indi","Karnataka","T.M.C.","\N","2015-03-15 04:06:15.47366","2015-03-15 04:06:15.47366"
"520","Indore","Madhya Pradesh","M.Corp.","21,67,447","2015-03-15 04:06:15.484736","2015-03-15 04:06:15.484736"
"521","Indranagar","Tripura","C.T","17,807","2015-03-15 04:06:15.495705","2015-03-15 04:06:15.495705"
"522","Irinjalakuda","Kerala","M","28,873","2015-03-15 04:06:15.506772","2015-03-15 04:06:15.506772"
"523","Islampur","Bihar","N.A","29,868","2015-03-15 04:06:15.51835","2015-03-15 04:06:15.51835"
"524","Islampur","West Bengal","\N","\N","2015-03-15 04:06:15.528941","2015-03-15 04:06:15.528941"
