"id","name","state","classification","population","created_at","updated_at"
"99","Aruppukkottai","Tamil Nadu","\N","84,029","2015-03-15 04:06:10.502488","2015-03-15 04:06:10.502488"
"100","Arvi","Maharashtra","M.Cl","40,575","2015-03-15 04:06:10.513653","2015-03-15 04:06:10.513653"
"101","Arwal","Bihar","M","6,00,000","2015-03-15 04:06:10.524699","2015-03-15 04:06:10.524699"
"102","Asankhurd","Haryana","C.T","8,066","2015-03-15 04:06:10.535771","2015-03-15 04:06:10.535771"
"103","Asansol","West Bengal","UA","4,86,304","2015-03-15 04:06:10.546823","2015-03-15 04:06:10.546823"
"104","Asarganj","Bihar","CT","5739","2015-03-15 04:06:10.558321","2015-03-15 04:06:10.558321"
"105","Ashok Nagar","Madhya Pradesh","\N","67,705","2015-03-15 04:06:10.568986","2015-03-15 04:06:10.568986"
"106","Ashta","Maharashtra","M.Cl","33,203","2015-03-15 04:06:10.580053","2015-03-15 04:06:10.580053"
"107","Ashtamichira","Kerala","\N","\N","2015-03-15 04:06:10.591736","2015-03-15 04:06:10.591736"
"108","Asika","Odisha","N.A.C","20,739","2015-03-15 04:06:10.602039","2015-03-15 04:06:10.602039"
"109","Asola","Delhi","CT","5,003","2015-03-15 04:06:10.613289","2015-03-15 04:06:10.613289"
"110","Assandh","Haryana","M.C","22,707","2015-03-15 04:06:10.624284","2015-03-15 04:06:10.624284"
"111","Ateli","Haryana","M.C","5,673","2015-03-15 04:06:10.635404","2015-03-15 04:06:10.635404"
"112","Athni","Karnataka","UA","40,950","2015-03-15 04:06:10.646495","2015-03-15 04:06:10.646495"
"113","Attingal","Kerala","M","35,693","2015-03-15 04:06:10.657551","2015-03-15 04:06:10.657551"
"114","Atul","Gujarat","CT","5352","2015-03-15 04:06:10.668614","2015-03-15 04:06:10.668614"
"115","Aurad","Karnataka","TP","15,804","2015-03-15 04:06:10.67986","2015-03-15 04:06:10.67986"
"116","Aurangabad","Bihar","M","79,393","2015-03-15 04:06:10.690751","2015-03-15 04:06:10.690751"
"117","Aurangabad","Maharashtra","\N","12,08,285","2015-03-15 04:06:10.701847","2015-03-15 04:06:10.701847"
"118","Ausa","Maharashtra","M.Cl","30,876","2015-03-15 04:06:10.714068","2015-03-15 04:06:10.714068"
"119","Avinissery","Kerala","C.T","11,462","2015-03-15 04:06:10.723731","2015-03-15 04:06:10.723731"
"120","Awantipora","Jammu and Kashmir","N.A.C","6,252","2015-03-15 04:06:10.735058","2015-03-15 04:06:10.735058"
"121","Azamgarh","Uttar Pradesh","MB","93,521","2015-03-15 04:06:10.746084","2015-03-15 04:06:10.746084"
"122","Azmatgarh","Uttar Pradesh","NP","11,978","2015-03-15 04:06:10.756976","2015-03-15 04:06:10.756976"
"123","Babaleshwar","Karnataka","T.P.","23,410","2015-03-15 04:06:10.768365","2015-03-15 04:06:10.768365"
"124","Babiyal","Haryana","C.T","21,644","2015-03-15 04:06:10.779212","2015-03-15 04:06:10.779212"
"125","Baddi","Himachal Pradesh","N.P","22,601","2015-03-15 04:06:10.790319","2015-03-15 04:06:10.790319"
"126","Bade Bacheli","Chhattisgarh","N.P","20,411","2015-03-15 04:06:10.801678","2015-03-15 04:06:10.801678"
"127","Badaun","Uttar Pradesh","U.P","29,829","2015-03-15 04:06:10.812439","2015-03-15 04:06:10.812439"
"128","Badagaon","Madhya Pradesh","N.P","18,529","2015-03-15 04:06:10.823307","2015-03-15 04:06:10.823307"
"129","Badepalle","Andhra Pradesh","C.T","29,829","2015-03-15 04:06:10.835475","2015-03-15 04:06:10.835475"
"130","Badharghat","Tripura","C.T","47,713","2015-03-15 04:06:10.845748","2015-03-15 04:06:10.845748"
"131","Bagaha","Bihar","M","91,467","2015-03-15 04:06:10.856771","2015-03-15 04:06:10.856771"
"132","Bageshwar","Uttarakhand","M","91,467","2015-03-15 04:06:10.867827","2015-03-15 04:06:10.867827"
"133","Bahadurgarh","Haryana","UA","1,31,925","2015-03-15 04:06:10.87889","2015-03-15 04:06:10.87889"
"134","Bahadurganj","Bihar","N.A","28,118","2015-03-15 04:06:10.890034","2015-03-15 04:06:10.890034"
"135","Baharampur","West Bengal","\N","1,60,168","2015-03-15 04:06:10.901019","2015-03-15 04:06:10.901019"
"136","Bahraich","Uttar Pradesh","\N","1,68,376","2015-03-15 04:06:10.912168","2015-03-15 04:06:10.912168"
"137","Bairgania","Bihar","N.A","34,836","2015-03-15 04:06:10.923379","2015-03-15 04:06:10.923379"
"138","Bakhtiarpur","Bihar","N.A","32,293","2015-03-15 04:06:10.934114","2015-03-15 04:06:10.934114"
"139","Balaghat","Madhya Pradesh","M","75,061","2015-03-15 04:06:10.94523","2015-03-15 04:06:10.94523"
"140","Balangir","Odisha","M","85,261","2015-03-15 04:06:10.957153","2015-03-15 04:06:10.957153"
"141","Balasore","Odisha","\N","\N","2015-03-15 04:06:10.967492","2015-03-15 04:06:10.967492"
"142","Baleshwar","Odisha","UA","1,56,430","2015-03-15 04:06:10.978564","2015-03-15 04:06:10.978564"
"143","Bawana","Delhi","UA","23,095","2015-03-15 04:06:10.989652","2015-03-15 04:06:10.989652"
"144","Bhiwadi","Rajasthan","\N","\N","2015-03-15 04:06:11.000703","2015-03-15 04:06:11.000703"
"145","Bali","Rajasthan","\N","\N","2015-03-15 04:06:11.011748","2015-03-15 04:06:11.011748"
"146","Bally","West Bengal","\N","\N","2015-03-15 04:06:11.022811","2015-03-15 04:06:11.022811"
"147","Ballabhgarh","Haryana","\N","\N","2015-03-15 04:06:11.033892","2015-03-15 04:06:11.033892"
"148","Ballia","Uttar Pradesh","\N","\N","2015-03-15 04:06:11.045084","2015-03-15 04:06:11.045084"
"149","Balod","Chhattisgarh","N.P","21,165","2015-03-15 04:06:11.055932","2015-03-15 04:06:11.055932"
"150","Baloda Bazar","Chhattisgarh","N.P","22,853","2015-03-15 04:06:11.067199","2015-03-15 04:06:11.067199"
"151","Balrampur","Uttar Pradesh","\N","\N","2015-03-15 04:06:11.079565","2015-03-15 04:06:11.079565"
"152","Balurghat","West Bengal","\N","\N","2015-03-15 04:06:11.089074","2015-03-15 04:06:11.089074"
"153","Bamra","Odisha","\N","\N","2015-03-15 04:06:11.100407","2015-03-15 04:06:11.100407"
"154","Bandar","Uttar Pradesh","\N","\N","2015-03-15 04:06:11.111565","2015-03-15 04:06:11.111565"
"155","Bandikui","Rajasthan","\N","\N","2015-03-15 04:06:11.122537","2015-03-15 04:06:11.122537"
"156","Bandipore","Jammu and Kashmir","N.A.C","25,795","2015-03-15 04:06:11.133721","2015-03-15 04:06:11.133721"
"157","Bangalore","Karnataka","MB","93,410","2015-03-15 04:06:11.14464","2015-03-15 04:06:11.14464"
"158","Banganapalle","Andhra Pradesh","\N","\N","2015-03-15 04:06:11.155696","2015-03-15 04:06:11.155696"
"159","Banka","Bihar","M","35,455","2015-03-15 04:06:11.16703","2015-03-15 04:06:11.16703"
"160","Banmankhi Bazar","Bihar","N.A","25,187","2015-03-15 04:06:11.178013","2015-03-15 04:06:11.178013"
"161","Banswara","Rajasthan","\N","\N","2015-03-15 04:06:11.18896","2015-03-15 04:06:11.18896"
"162","Bankura","West Bengal","\N","2,19,255","2015-03-15 04:06:11.201494","2015-03-15 04:06:11.201494"
"163","Bapatla","Andhra Pradesh","M","68,397","2015-03-15 04:06:11.211184","2015-03-15 04:06:11.211184"
"164","Barakar","West Bengal","\N","\N","2015-03-15 04:06:11.222142","2015-03-15 04:06:11.222142"
"165","Barahiya","Bihar","M","39,865","2015-03-15 04:06:11.233183","2015-03-15 04:06:11.233183"
"166","Baramati","Maharashtra","\N","\N","2015-03-15 04:06:11.244575","2015-03-15 04:06:11.244575"
"167","Baramula","Jammu and Kashmir","UA","78,986","2015-03-15 04:06:11.255418","2015-03-15 04:06:11.255418"
"168","Baran","Rajasthan","\N","\N","2015-03-15 04:06:11.266521","2015-03-15 04:06:11.266521"
"169","Barasat","West Bengal","\N","\N","2015-03-15 04:06:11.277668","2015-03-15 04:06:11.277668"
"170","Bardhaman","West Bengal","\N","\N","2015-03-15 04:06:11.288837","2015-03-15 04:06:11.288837"
"171","Barauli","Bihar","N.A","34,653","2015-03-15 04:06:11.299744","2015-03-15 04:06:11.299744"
"172","Barbigha","Bihar","N.A","38,200","2015-03-15 04:06:11.311117","2015-03-15 04:06:11.311117"
"173","Bareilly","Uttar Pradesh","\N","\N","2015-03-15 04:06:11.323246","2015-03-15 04:06:11.323246"
"174","Barughutu","Jharkhand","C.T","21, 092","2015-03-15 04:06:11.332957","2015-03-15 04:06:11.332957"
"175","Basna","Chhattisgarh","\N","\N","2015-03-15 04:06:11.344068","2015-03-15 04:06:11.344068"
"176","Barbil","Odisha","M","52,627","2015-03-15 04:06:11.35508","2015-03-15 04:06:11.35508"
"177","Bargarh","Odisha","M","63,678","2015-03-15 04:06:11.366175","2015-03-15 04:06:11.366175"
"178","Barh","Bihar","M","48,442","2015-03-15 04:06:11.3773","2015-03-15 04:06:11.3773"
"179","Baripada","Odisha","UA","1,00,651","2015-03-15 04:06:11.388305","2015-03-15 04:06:11.388305"
"180","Barmer","Rajasthan","\N","\N","2015-03-15 04:06:11.399394","2015-03-15 04:06:11.399394"
"181","Barnala","Punjab","M.Cl","96,624","2015-03-15 04:06:11.410799","2015-03-15 04:06:11.410799"
"182","Barpeta","Assam","M.B","41,038","2015-03-15 04:06:11.421566","2015-03-15 04:06:11.421566"
